cve_mun_full,NOM_MUN_CLEAN,temp_media_anual,ZON_TER
13079,Xochicoatlán,23.0,Cálido
13080,Yahualica,23.0,Cálido
13004,Agua Blanca de Iturbide,15.0,Templado
13005,Ajacuba,15.0,Templado
13039,Mineral del Monte,13.0,Templado
13040,La Misión,23.0,Cálido
13042,Molango de Escamilla,23.0,Cálido
13056,Santiago Tulantepec de Lugo Guerrero,15.0,Templado
13057,Singuilucan,15.0,Templado
13058,Tasquillo,15.0,Templado
13059,Tecozautla,15.0,Templado
13060,Tenango de Doria,13.0,Templado
13061,Tepeapulco,13.0,Templado
13062,Tepehuacán de Guerrero,23.0,Cálido
13063,Tepeji del Río de Ocampo,15.0,Templado
13050,Progreso de Obregón,13.0,Templado
13064,Tepetitlán,15.0,Templado
13051,Mineral de la Reforma,15.0,Templado
13052,San Agustín Tlaxiaca,15.0,Templado
13053,San Bartolo Tutotepec,13.0,Templado
13054,San Salvador,15.0,Templado
13055,Santiago de Anaya,15.0,Templado
13001,Acatlán,15.0,Templado
13002,Acaxochitlán,15.0,Templado
13003,Actopan,15.0,Templado
13065,Tetepango,15.0,Templado
13070,Tlahuelilpan,15.0,Templado
13074,Tlaxcoapan,15.0,Templado
14043,La Huerta,25.0,Cálido
14055,Magdalena,21.0,Semicálido
14086,Tapalpa,23.0,Cálido
14054,El Limón,23.0,Cálido
14020,Cabo Corrientes,25.0,Cálido
14021,Casimiro Castillo,25.0,Cálido
14022,Cihuatlán,25.0,Cálido
14023,Zapotlán el Grande,21.0,Semicálido
14026,Concepción de Buenos Aires,19.0,Semicálido
14088,Tecolotlán,19.0,Semicálido
14089,Techaluta de Montenegro,19.0,Semicálido
14104,Totatiche,21.0,Semicálido
14105,Tototlán,19.0,Semicálido
14106,Tuxcacuesco,13.0,Templado
14107,Tuxcueca,19.0,Semicálido
14070,El Salto,19.0,Semicálido
14071,San Cristóbal de la Barranca,19.0,Semicálido
14082,Sayula,19.0,Semicálido
14083,Tala,19.0,Semicálido
14006,Ameca,19.0,Semicálido
14007,San Juanito de Escobedo,21.0,Semicálido
14008,Arandas,19.0,Semicálido
14009,El Arenal,19.0,Semicálido
14112,Valle de Juárez,21.0,Semicálido
14113,San Gabriel,11.0,Semifrio
14114,Villa Corona,19.0,Semicálido
14122,Zapotitlán de Vadillo,25.0,Cálido
14123,Zapotlán del Rey,19.0,Semicálido
14124,Zapotlanejo,19.0,Semicálido
14001,Acatic,19.0,Semicálido
14004,Amacueca,19.0,Semicálido
14087,Tecalitlán,21.0,Semicálido
14120,Zapopan,19.0,Semicálido
14121,Zapotiltic,21.0,Semicálido
14094,Tequila,21.0,Semicálido
14095,Teuchitlán,21.0,Semicálido
14096,Tizapán el Alto,19.0,Semicálido
14097,Tlajomulco de Zúñiga,19.0,Semicálido
14098,San Pedro Tlaquepaque,19.0,Semicálido
14099,Tolimán,21.0,Semicálido
14018,La Barca,17.0,Templado
14019,Bolaños,17.0,Templado
14024,Cocula,19.0,Semicálido
14100,Tomatlán,25.0,Cálido
14101,Tonalá,19.0,Semicálido
14102,Tonaya,23.0,Cálido
14103,Tonila,25.0,Cálido
14041,Huejúcar,15.0,Templado
14042,Huejuquilla el Alto,15.0,Templado
14044,Ixtlahuacán de los Membrillos,19.0,Semicálido
14045,Ixtlahuacán del Río,19.0,Semicálido
14046,Jalostotitlán,19.0,Semicálido
14047,Jamay,19.0,Semicálido
14048,Jesús María,19.0,Semicálido
14049,Jilotlán de los Dolores,27.0,Muy cálido
14050,Jocotepec,19.0,Semicálido
14051,Juanacatlán,19.0,Semicálido
14052,Juchitlán,23.0,Cálido
14053,Lagos de Moreno,19.0,Semicálido
14056,Santa María del Oro,27.0,Muy cálido
14057,La Manzanilla de la Paz,15.0,Templado
14058,Mascota,15.0,Templado
14059,Mazamitla,19.0,Semicálido
14060,Mexticacán,19.0,Semicálido
14061,Mezquitic,17.0,Templado
14062,Mixtlán,19.0,Semicálido
14063,Ocotlán,19.0,Semicálido
14064,Ojuelos de Jalisco,15.0,Templado
14065,Pihuamo,23.0,Cálido
14090,Tenamaxtlán,23.0,Cálido
14091,Teocaltiche,19.0,Semicálido
14092,Teocuitatlán de Corona,19.0,Semicálido
14093,Tepatitlán de Morelos,19.0,Semicálido
14017,Ayutla,17.0,Templado
14039,Guadalajara,19.0,Semicálido
14066,Poncitlán,19.0,Semicálido
14108,Tuxpan,25.0,Cálido
14109,Unión de San Antonio,19.0,Semicálido
14110,Unión de Tula,23.0,Cálido
14011,Atengo,19.0,Semicálido
14072,San Diego de Alejandría,19.0,Semicálido
14073,San Juan de los Lagos,19.0,Semicálido
14074,San Julián,15.0,Templado
14075,San Marcos,21.0,Semicálido
14076,San Martín de Bolaños,15.0,Templado
14077,San Martín Hidalgo,19.0,Semicálido
14078,San Miguel el Alto,15.0,Templado
14079,Gómez Farías,19.0,Semicálido
14080,San Sebastián del Oeste,15.0,Templado
14081,Santa María de los Ángeles,15.0,Templado
14002,Acatlán de Juárez,19.0,Semicálido
14003,Ahualulco de Mercado,21.0,Semicálido
14005,Amatitán,19.0,Semicálido
14025,Colotlán,15.0,Templado
14027,Cuautitlán de García Barragán,25.0,Cálido
14028,Cuautla,19.0,Semicálido
14029,Cuquío,19.0,Semicálido
14030,Chapala,19.0,Semicálido
14031,Chimaltitán,25.0,Cálido
14032,Chiquilistlán,23.0,Cálido
14033,Degollado,19.0,Semicálido
14034,Ejutla,23.0,Cálido
14035,Encarnación de Díaz,15.0,Templado
14036,Etzatlán,21.0,Semicálido
14037,El Grullo,23.0,Cálido
14038,Guachinango,17.0,Templado
14040,Hostotipaquillo,21.0,Semicálido
14068,Villa Purificación,25.0,Cálido
14069,Quitupan,21.0,Semicálido
14084,Talpa de Allende,25.0,Cálido
14085,Tamazula de Gordiano,21.0,Semicálido
14111,Valle de Guadalupe,19.0,Semicálido
14115,Villa Guerrero,21.0,Semicálido
14116,Villa Hidalgo,15.0,Templado
14117,Cañadas de Obregón,19.0,Semicálido
14118,Yahualica de González Gallo,19.0,Semicálido
14119,Zacoalco de Torres,19.0,Semicálido
14010,Atemajac de Brizuela,19.0,Semicálido
14013,Atotonilco el Alto,17.0,Templado
14014,Atoyac,19.0,Semicálido
14015,Autlán de Navarro,25.0,Cálido
14016,Ayotlán,17.0,Templado
14067,Puerto Vallarta,19.0,Semicálido
14012,Atenguillo,13.0,Templado
14125,San Ignacio Cerro Gordo,15.0,Templado
15036,Hueypoxtla,15.0,Templado
15040,Ixtapan de la Sal,21.0,Semicálido
15042,Ixtlahuaca,9.0,Semifrio
15062,Ocoyoacac,13.0,Templado
15003,Aculco,15.0,Templado
15005,Almoloya de Juárez,9.0,Semifrio
